Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39714e+006	1600	0	0	0	0	0	0	0	0	1600	0	
1	8.39698e+006	1760	0	0	0	0	0	0	0	160	1760	0	
2	8.39682e+006	1920	0	0	0	0	0	0	0	160	1920	0	
3	8.39568e+006	3060	0	0	0	0	0	0	0	1140	3060	0	
4	8.39448e+006	2660	815	785	0	0	0	0	0	1200	4260	815	
5	8.39316e+006	3817	893	867	0	0	0	0	0	1316	5577	893	
6	8.39109e+006	5724	976	944	0	0	0	0	0	2067	7644	976	
7	8.38833e+006	7347	1554	1506	0	0	0	0	0	2763	10407	1554	
8	8.38477e+006	9709	2159	2101	0	0	0	0	0	3563	13970	2159	
9	8.38034e+006	12824	2813	2763	0	0	0	0	0	4431	18401	2813	
10	8.37501e+006	16085	3052	2992	289	0	0	1311	0	5328	23729	4010	
11	8.36947e+006	18860	4339	4307	316	0	0	1444	0	5537	29266	5388	
12	8.36304e+006	21730	6025	6024	348	0	0	1572	0	6433	35700	7170	
13	8.35606e+006	24273	7679	7662	578	0	0	2482	0	6974	42674	9527	
14	8.34933e+006	25676	9723	9745	808	0	0	3453	0	6732	49405	12280	
15	8.34331e+006	26157	11818	11871	1062	0	0	4514	0	6018	55423	15163	
16	8.33855e+006	24487	13972	14084	1183	97	54	6364	0	4763	60186	18548	
17	8.33322e+006	22840	16099	16168	1674	104	57	8628	0	5327	65513	22297	
18	8.32738e+006	21953	17705	17731	2331	113	61	11526	0	5845	71359	26018	
19	8.32148e+006	21833	18504	18519	2995	177	91	15229	0	5898	77257	29472	
20	8.31562e+006	22930	18247	18210	3792	241	120	19696	0	5859	83116	32373	
21	8.30971e+006	23512	18132	18115	4610	318	154	24338	0	5909	89025	35547	
22	8.30371e+006	23667	17838	17821	5455	436	208	29809	0	6001	95026	39066	
23	8.29782e+006	23659	17292	17291	6320	589	280	35765	0	5890	100916	42711	
24	8.29213e+006	23491	16863	16848	6968	791	374	41646	0	5691	106607	46306	
25	8.28649e+006	23225	16810	16792	7235	1050	490	47138	0	5644	112250	49893	
26	8.28088e+006	22827	17393	17447	7135	1249	576	51765	37	5602	117853	53355	
27	8.27508e+006	22739	17706	17696	7087	1546	715	56841	39	5802	123654	56818	
28	8.26926e+006	22866	17660	17588	6970	1914	895	62434	41	5819	129473	60252	
29	8.26348e+006	23009	17529	17464	6737	2232	1048	68230	58	5787	135260	63649	
30	8.25773e+006	23157	17388	17348	6548	2550	1192	73947	72	5750	141009	67016	
31	8.25198e+006	23105	17307	17322	6528	2809	1315	79593	94	5750	146759	70473	
32	8.24628e+006	22985	17231	17216	6764	2950	1380	85191	121	5699	152458	73966	
33	8.24056e+006	22914	17186	17157	6883	3084	1436	90790	159	5716	158174	77447	
34	8.23489e+006	22840	17173	17229	6858	3208	1499	96334	205	5676	163849	80846	
35	8.22924e+006	22734	17221	17287	6816	3273	1537	101894	268	5644	169493	84264	
36	8.22357e+006	22712	17259	17346	6764	3313	1546	107437	339	5677	175170	87639	
37	8.21788e+006	22685	17218	17302	6758	3353	1562	113130	413	5688	180859	91056	
38	8.21221e+006	22680	17147	17229	6707	3321	1537	118937	508	5671	186529	94423	
39	8.20657e+006	22677	17061	17173	6665	3264	1510	124724	607	5641	192170	97772	
40	8.20093e+006	22633	17061	17100	6665	3208	1488	130435	702	5633	197803	101158	
41	8.19538e+006	22495	17049	17050	6692	3188	1474	136099	780	5551	203354	104571	
42	8.18982e+006	22387	17314	16757	6708	3238	1503	141671	841	5562	208916	108231	
43	8.1843e+006	22268	17570	16427	6695	3291	1534	147275	913	5522	214438	111892	
44	8.17876e+006	22175	17833	16121	6668	3287	1526	152904	992	5541	219979	115532	
45	8.17322e+006	22159	18094	15767	6686	3268	1514	158475	1063	5534	225512	119165	
46	8.16772e+006	22096	18294	15452	6690	3249	1515	164085	1146	5500	231012	122767	
47	8.16356e+006	20737	18473	15107	6685	3229	1504	169717	1228	4162	235175	126369	
48	8.15944e+006	19321	18444	15005	6684	3210	1487	175320	1316	4125	239300	129956	
49	8.15532e+006	17903	18380	14962	6682	3198	1477	180900	1390	4116	243416	133509	
50	8.15136e+006	16366	18308	14902	6684	3183	1469	186466	1470	3962	247378	137021	
51	8.14752e+006	16043	17528	14293	6639	3190	1473	191978	1547	3840	251218	139814	
52	8.14385e+006	15591	16750	13634	6613	3204	1469	197471	1628	3673	254891	142580	
53	8.1403e+006	15022	15968	13009	6559	3188	1450	202978	1713	3547	258438	145320	
54	8.13691e+006	14453	15072	12328	6517	3187	1454	208488	1788	3393	261831	147966	
55	8.13376e+006	13763	14139	11566	6491	3215	1465	213947	1860	3150	264981	150579	
56	8.13076e+006	13090	13146	10732	6481	3207	1453	219394	1931	3000	267981	153083	
57	8.12792e+006	12378	12800	10463	6223	3186	1442	223759	2007	2834	270815	155404	
58	8.12521e+006	11692	12373	10159	5938	3176	1439	228100	2086	2707	273523	157610	
59	8.12256e+006	11197	11841	9724	5657	3168	1434	232432	2158	2655	276178	159694	
60	8.12005e+006	10703	11308	9295	5360	3171	1438	236615	2232	2507	278684	161683	
61	8.11761e+006	10309	10749	8848	5028	3166	1436	240711	2312	2440	281125	163585	
62	8.11534e+006	9874	10198	8434	4662	3168	1444	244677	2384	2272	283397	165382	
63	8.11317e+006	9389	9713	8027	4531	3077	1410	248365	2465	2170	285567	167163	
64	8.11109e+006	8963	9254	7600	4384	2985	1357	251917	2545	2081	287648	168857	
65	8.10909e+006	8527	8875	7269	4193	2880	1310	255281	2626	2004	289651	170476	
66	8.10715e+006	8194	8481	6935	4007	2799	1272	258474	2702	1939	291590	171999	
67	8.10529e+006	7880	8340	6412	3798	2719	1239	261521	2778	1856	293447	173672	
68	8.10357e+006	7519	8234	5891	3618	2612	1195	264439	2854	1720	295167	175286	
69	8.1019e+006	7188	8067	5407	3438	2503	1151	267311	2925	1672	296839	176815	
70	8.10029e+006	6857	7946	4960	3259	2378	1084	270047	3001	1609	298448	178297	
71	8.09877e+006	6524	7803	4519	3132	2229	1019	272688	3075	1523	299971	179707	
72	8.0973e+006	6265	7668	4102	2980	2075	943	275190	3151	1461	301432	181025	
73	8.09588e+006	6018	7351	3922	2861	2003	910	277495	3207	1424	302857	182273	
74	8.09452e+006	5764	7022	3778	2731	1930	885	279726	3260	1355	304212	183448	
75	8.09325e+006	5519	6707	3612	2618	1844	846	281873	3316	1278	305490	184565	
76	8.09205e+006	5259	6386	3456	2524	1751	812	283946	3369	1201	306691	185644	
77	8.09087e+006	5014	6114	3296	2405	1668	773	285951	3423	1180	307871	186697	
78	8.08974e+006	4784	5870	3175	2324	1587	736	287781	3476	1124	308996	187690	
79	8.08868e+006	4568	5615	3036	2210	1516	695	289585	3528	1062	310057	188637	
80	8.08765e+006	4399	5356	2887	2118	1444	672	291312	3573	1033	311090	189524	
81	8.08668e+006	4188	5138	2762	2028	1379	644	292947	3616	969	312059	190399	
82	8.08573e+006	4013	4920	2643	1934	1319	621	294523	3657	950	313009	191228	
83	8.08484e+006	3839	4690	2511	1848	1262	595	296052	3694	887	313896	192018	
84	8.08398e+006	3670	4482	2397	1757	1212	567	297509	3735	864	314760	192777	
85	8.08315e+006	3532	4266	2304	1684	1162	543	298871	3772	830	315591	193491	
86	8.08236e+006	3364	4103	2215	1612	1112	516	300163	3805	782	316373	194189	
87	8.08161e+006	3235	3916	2109	1531	1059	492	301441	3840	758	317131	194844	
88	8.08088e+006	3099	3739	2026	1452	1015	476	302653	3875	728	317860	195472	
89	8.07952e+006	3626	3567	1966	1398	968	456	303784	3907	1357	319216	196067	
90	8.07821e+006	4156	3405	1878	1338	926	433	304895	3932	1312	320529	196642	
91	8.07695e+006	4653	3283	1789	1277	891	415	305932	3959	1255	321784	197212	
92	8.0756e+006	5276	3144	1707	1231	848	392	306944	3986	1351	323135	197756	
93	8.0742e+006	5321	3440	1881	1187	807	371	307890	4012	1402	324538	198692	
94	8.07274e+006	5465	3742	2027	1141	764	352	308819	4037	1456	325994	199603	
