Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39856e+006	8.39856e+006	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	176	176	0	0	
2	8.3984e+006	8.3984e+006	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	336	336	0	0	
3	8.39821e+006	8.39822e+006	521	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	190	521	526	0	0	
4	8.39788e+006	8.39791e+006	830	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	328	830	852	0	0	
5	8.39743e+006	8.39748e+006	1260	1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	455	1260	1302	0	0	
6	8.39683e+006	8.3969e+006	1839	1908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573	613	1839	1908	0	0	
7	8.39593e+006	8.39604e+006	2681	2788	16	16	0	0	0	0	0	0	0	0	0	0	0	0	850	903	2697	2804	16	16	
8	8.39468e+006	8.39484e+006	3721	3881	131	140	36	45	0	0	0	0	0	0	0	0	0	0	1190	1263	3897	4057	131	140	
9	8.39305e+006	8.39329e+006	5111	5350	251	262	74	85	0	0	0	0	0	0	0	0	0	0	1543	1637	5447	5686	251	262	
10	8.39083e+006	8.39116e+006	7056	7382	374	390	119	134	0	0	0	0	0	0	16	16	0	0	2120	2232	7579	7906	390	406	
11	8.38768e+006	8.38816e+006	9740	10205	485	512	157	175	27	35	0	0	0	0	141	149	0	0	2985	3157	10575	11052	629	653	
12	8.38345e+006	8.38413e+006	13345	13993	690	736	222	242	56	67	0	0	0	0	269	280	0	0	4024	4248	14611	15288	958	995	
13	8.37779e+006	8.37872e+006	18174	19043	981	1056	317	347	90	103	0	0	0	0	420	435	0	0	5399	5666	20020	20945	1401	1456	
14	8.36999e+006	8.37128e+006	24754	25955	1393	1498	444	483	147	165	0	0	0	0	673	697	0	0	7426	7819	27458	28751	2067	2152	
15	8.35936e+006	8.36118e+006	33651	35332	1960	2100	639	693	238	259	0	0	0	0	1012	1052	0	0	10086	10642	37556	39381	2988	3108	
16	8.34515e+006	8.34767e+006	45615	47912	2682	2873	886	945	347	374	0	0	0	0	1482	1543	0	0	13503	14220	51071	53588	4174	4357	
17	8.3257e+006	8.32914e+006	62010	65141	3635	3878	1198	1273	487	521	15	19	14	17	2182	2276	0	0	18516	19460	69599	73036	5835	6087	
18	8.29946e+006	8.3042e+006	83949	88240	4953	5297	1663	1760	685	732	25	30	19	22	3171	3310	0	0	24926	26254	94538	99278	8133	8498	
19	8.2641e+006	8.27063e+006	113479	119363	6780	7253	2300	2433	959	1018	34	40	23	27	4441	4641	0	0	33553	35373	128104	134636	11221	11739	
20	8.21639e+006	8.22532e+006	153378	161420	9200	9838	3133	3309	1317	1387	51	60	31	36	6195	6475	0	0	45296	47725	173416	182346	15364	16064	
21	8.15244e+006	8.16462e+006	206640	217569	12491	13356	4255	4480	1806	1902	77	88	44	51	8674	9081	0	0	60686	63969	234119	246299	21050	22034	
22	8.0666e+006	8.08312e+006	278038	292784	16979	18185	5787	6087	2481	2613	109	123	58	68	12001	12573	0	0	81483	85858	315618	332141	28780	30179	
23	7.95245e+006	7.97461e+006	373026	392721	23010	24675	7801	8210	3376	3542	159	177	80	93	16464	17248	0	0	108487	114162	424124	446283	39194	41126	
24	7.8009e+006	7.83062e+006	498483	524837	31273	33506	10554	11093	4592	4822	223	246	110	125	22622	23704	0	0	143971	151577	568115	597840	53442	56090	
25	7.60178e+006	7.64134e+006	662814	697717	42323	45351	14235	14971	6239	6564	316	343	150	169	30979	32496	0	0	189246	199145	757392	796954	72628	76280	
26	7.34306e+006	7.39475e+006	875828	921097	57182	61351	19260	20288	8480	8914	434	467	202	225	42137	44228	0	0	246556	258764	1.00398e+006	1.05568e+006	98480	103497	
27	7.01146e+006	7.07788e+006	1.14738e+006	1.205e+006	77124	82817	25905	27280	11500	12086	595	638	269	298	57468	60318	13	16	316830	331638	1.32086e+006	1.38727e+006	133418	140296	
28	6.59501e+006	6.67876e+006	1.48578e+006	1.55751e+006	103662	111364	34864	36712	15585	16369	806	864	366	401	78107	82047	17	20	399079	416487	1.71998e+006	1.80372e+006	180113	189508	
29	6.08446e+006	6.18675e+006	1.89627e+006	1.98224e+006	139251	149588	46842	49337	21025	22128	1103	1172	504	546	105933	111338	19	22	491977	510590	2.21199e+006	2.31428e+006	242839	255549	
30	5.47895e+006	5.59919e+006	2.3753e+006	2.47363e+006	186052	199746	62747	66100	28402	29916	1505	1597	696	748	143462	150832	22	26	587498	605564	2.79954e+006	2.91979e+006	326347	343395	
31	4.78957e+006	4.92493e+006	2.90554e+006	3.01148e+006	247966	266127	83477	87967	38274	40320	2034	2156	948	1016	193758	203814	28	35	674180	689466	3.47381e+006	3.60917e+006	437418	460255	
32	4.04059e+006	4.18435e+006	3.45681e+006	3.56137e+006	327954	351804	110468	116361	51503	54243	2767	2924	1291	1372	261286	274958	35	43	740386	749165	4.21438e+006	4.35815e+006	583297	613663	
33	3.27509e+006	3.41816e+006	3.97637e+006	4.06819e+006	430568	461142	145018	152529	68989	72656	3737	3946	1735	1839	351322	369653	47	56	764325	767371	4.98058e+006	5.12364e+006	773379	813137	
34	2.54468e+006	2.67694e+006	4.40056e+006	4.46716e+006	559207	597192	188241	197539	92041	96920	5071	5348	2352	2487	470909	495526	64	75	730182	741441	5.72179e+006	5.85405e+006	1.0181e+006	1.06923e+006	
35	1.89629e+006	2.0099e+006	4.66782e+006	4.69977e+006	715539	761279	240676	251860	122296	128680	6844	7215	3180	3353	628136	660993	84	97	648250	667186	6.38884e+006	6.50244e+006	1.32663e+006	1.39119e+006	
36	1.36443e+006	1.45498e+006	4.71736e+006	4.73443e+006	899081	951428	301649	314445	161407	169664	9261	9774	4292	4525	833168	876149	113	128	531785	554992	6.94376e+006	7.0343e+006	1.70783e+006	1.78687e+006	
37	986245	1.05553e+006	4.49196e+006	4.54441e+006	1.10168e+006	1.15736e+006	369302	382853	211293	221757	12493	13193	5757	6076	1.09688e+006	1.15218e+006	159	178	378148	399495	7.34321e+006	7.41249e+006	2.16397e+006	2.25726e+006	
38	729401	781441	4.05975e+006	4.14391e+006	1.3082e+006	1.36162e+006	438256	451203	272902	285937	16854	17767	7770	8186	1.42997e+006	1.49983e+006	211	235	256784	274143	7.6173e+006	7.66934e+006	2.68883e+006	2.79432e+006	
39	560657	600070	3.47961e+006	3.58461e+006	1.49552e+006	1.53864e+006	500837	511264	347523	363100	22627	23860	10421	10980	1.84151e+006	1.92705e+006	287	314	168670	181445	7.79867e+006	7.83808e+006	3.26799e+006	3.38071e+006	
40	453740	484507	2.82105e+006	2.93396e+006	1.63153e+006	1.65601e+006	545718	551642	433915	451568	30239	31846	13892	14633	2.33495e+006	2.436e+006	390	425	106830	115650	7.91423e+006	7.945e+006	3.87106e+006	3.98427e+006	
41	387988	413150	2.15634e+006	2.26415e+006	1.6804e+006	1.68884e+006	560666	562966	528188	547002	40242	42343	18477	19453	2.90481e+006	3.01931e+006	524	568	65642	71468	7.98559e+006	8.01075e+006	4.46011e+006	4.56593e+006	
42	348755	370440	1.54712e+006	1.63988e+006	1.63627e+006	1.66831e+006	503567	510616	624041	642128	53265	55996	24510	25769	3.5363e+006	3.65932e+006	712	766	39122	42821	8.0283e+006	8.04998e+006	5.0295e+006	5.1207e+006	
43	326434	346092	1.0375e+006	1.10939e+006	1.48556e+006	1.53986e+006	418567	429850	711320	726454	70016	73519	32206	33820	4.19822e+006	4.32272e+006	957	1024	22216	24452	8.05264e+006	8.0723e+006	5.51017e+006	5.58294e+006	
44	314678	333253	671012	722827	1.23945e+006	1.30404e+006	311812	324554	778022	787817	90862	95274	41794	43809	4.85149e+006	4.96972e+006	1290	1374	11681	12914	8.06548e+006	8.08406e+006	5.86561e+006	5.92086e+006	
45	308783	326795	420060	455204	926537	989593	233400	245817	811701	815074	116380	121741	53532	55983	5.45849e+006	5.56429e+006	1750	1858	5844	6508	8.07194e+006	8.08995e+006	6.11087e+006	6.15163e+006	
46	305383	323068	254747	277530	637306	689741	160696	170942	799776	806036	146698	152909	67409	70287	5.98897e+006	6.07883e+006	2341	2497	3365	3763	8.07567e+006	8.09335e+006	6.27755e+006	6.30729e+006	
47	303316	320800	149950	164181	421641	461315	106406	114160	739295	752396	180943	187777	83226	86396	6.40684e+006	6.48192e+006	3160	3365	2037	2298	8.07794e+006	8.09542e+006	6.38566e+006	6.40769e+006	
48	302103	319460	85499	94076	269968	297892	68189	73656	643956	661923	217655	224745	100061	103382	6.73356e+006	6.79603e+006	4259	4513	1195	1358	8.07928e+006	8.09663e+006	6.45357e+006	6.47052e+006	
49	301410	318694	47052	52040	167245	185930	42324	46034	527927	548158	254385	261070	116980	120064	6.99049e+006	7.04295e+006	5721	6048	678	782	8.08004e+006	8.09733e+006	6.49471e+006	6.50849e+006	
50	301028	318272	25206	28020	100240	112211	25444	27825	406485	426329	287821	293539	132343	134972	7.19251e+006	7.2368e+006	7668	8083	372	431	8.08046e+006	8.09771e+006	6.51859e+006	6.53054e+006	
51	300828	318052	13713	15338	57581	64866	14658	16102	293056	310416	314617	318835	144651	146607	7.35044e+006	7.38799e+006	10220	10759	192	228	8.08068e+006	8.09791e+006	6.53157e+006	6.54254e+006	
52	300722	317933	7967	8956	31354	35549	7936	8777	197359	210906	331697	334041	152431	153556	7.47222e+006	7.50426e+006	13562	14237	100	125	8.0808e+006	8.09801e+006	6.5384e+006	6.54885e+006	
53	300657	317861	4661	5272	16488	18808	4155	4625	128273	138100	335834	336874	154259	154851	7.5606e+006	7.58863e+006	17871	18759	61	77	8.08088e+006	8.09808e+006	6.54232e+006	6.55248e+006	
54	300617	317817	2657	3025	8873	10203	2232	2507	80531	87231	327372	329520	150425	151457	7.62586e+006	7.65136e+006	23270	24402	36	48	8.08092e+006	8.09812e+006	6.54461e+006	6.55461e+006	
55	300593	317792	1479	1699	5202	6021	1313	1480	48858	53237	308415	312152	141697	143439	7.67705e+006	7.70117e+006	29812	31197	20	29	8.08094e+006	8.09814e+006	6.54593e+006	6.55581e+006	
56	300579	317776	811	937	3087	3603	774	883	28780	31505	280566	285733	128925	131354	7.72096e+006	7.74438e+006	37733	39364	12	18	8.08096e+006	8.09816e+006	6.54667e+006	6.5565e+006	
57	300571	317767	442	519	1766	2080	451	519	16396	18065	245797	252074	112909	115843	7.76124e+006	7.78435e+006	46803	48637	6	10	8.08097e+006	8.09817e+006	6.54709e+006	6.55689e+006	
58	300567	317762	252	300	978	1166	248	291	9008	9988	206216	213156	94718	97988	7.79958e+006	7.82246e+006	56769	58725	3	7	8.08097e+006	8.09817e+006	6.54732e+006	6.5571e+006	
59	300563	317758	151	182	525	634	130	158	4818	5371	164729	171708	75672	78908	7.836e+006	7.85848e+006	67168	69095	2	5	8.08098e+006	8.09817e+006	6.54744e+006	6.55722e+006	
60	300561	317756	90	111	279	345	69	89	2621	2951	124512	130968	57222	60203	7.86956e+006	7.89141e+006	77170	78983	1	4	8.08098e+006	8.09818e+006	6.54752e+006	6.55728e+006	
61	300558	317752	54	69	156	200	38	52	1521	1721	88479	93952	40647	43195	7.89898e+006	7.91999e+006	86183	87772	2	5	8.08098e+006	8.09818e+006	6.54756e+006	6.55733e+006	
62	300556	317750	34	45	93	121	23	33	895	1027	59070	63216	27133	29070	7.92307e+006	7.94305e+006	93590	94896	1	3	8.08099e+006	8.09818e+006	6.54758e+006	6.55735e+006	
63	300555	317749	21	30	57	76	12	19	518	594	38113	41073	17548	18938	7.94033e+006	7.95943e+006	98929	99972	0	2	8.08099e+006	8.09818e+006	6.5476e+006	6.55736e+006	
64	300554	317748	15	22	31	45	7	13	283	327	23836	25849	10965	11922	7.95213e+006	7.97055e+006	102602	103455	0	2	8.08099e+006	8.09818e+006	6.54761e+006	6.55737e+006	
65	300553	317747	11	18	18	28	3	7	157	185	14472	15802	6674	7306	7.95988e+006	7.97782e+006	105025	105746	0	2	8.08099e+006	8.09818e+006	6.54761e+006	6.55738e+006	
66	300551	317745	9	15	9	17	2	5	81	101	8523	9361	3942	4341	7.96484e+006	7.98242e+006	106575	107216	1	2	8.08099e+006	8.09819e+006	6.54762e+006	6.55738e+006	
67	300551	317744	8	13	6	12	1	3	43	55	4845	5362	2233	2480	7.96791e+006	7.98527e+006	107525	108131	0	1	8.08099e+006	8.09819e+006	6.54762e+006	6.55738e+006	
68	300549	317743	7	11	4	10	1	3	23	31	2672	2976	1234	1376	7.96972e+006	7.98693e+006	108097	108689	0	2	8.08099e+006	8.09819e+006	6.54762e+006	6.55738e+006	
69	300548	317742	6	10	5	9	0	1	12	19	1436	1607	660	739	7.97077e+006	7.98789e+006	108414	108996	0	2	8.08099e+006	8.09819e+006	6.54762e+006	6.55739e+006	
70	300547	317740	6	10	3	8	0	1	6	11	767	868	350	398	7.97133e+006	7.98841e+006	108591	109167	0	2	8.081e+006	8.09819e+006	6.54762e+006	6.55739e+006	
71	300545	317739	6	11	2	6	-0	1	4	9	446	508	202	234	7.97162e+006	7.98866e+006	108671	109244	0	2	8.081e+006	8.09819e+006	6.54763e+006	6.55739e+006	
72	300544	317738	7	11	1	4	-0	1	2	6	264	306	122	145	7.97177e+006	7.98881e+006	108720	109293	0	2	8.081e+006	8.09819e+006	6.54763e+006	6.55739e+006	
73	300543	317736	7	11	1	5	-0	1	1	5	153	180	70	87	7.97187e+006	7.9889e+006	108746	109319	1	3	8.081e+006	8.09819e+006	6.54763e+006	6.55739e+006	
74	300541	317735	7	12	1	4	-0	1	1	4	80	97	35	45	7.97193e+006	7.98896e+006	108763	109336	0	2	8.081e+006	8.0982e+006	6.54763e+006	6.55739e+006	
75	300540	317733	7	12	2	5	-0	1	1	4	44	56	18	26	7.97196e+006	7.98899e+006	108773	109345	1	3	8.081e+006	8.0982e+006	6.54763e+006	6.55739e+006	
76	300539	317732	7	11	2	5	-0	0	1	3	22	31	9	15	7.97199e+006	7.989e+006	108778	109351	0	1	8.081e+006	8.0982e+006	6.54763e+006	6.55739e+006	
77	300538	317732	6	11	2	5	0	1	0	1	11	17	4	8	7.972e+006	7.98902e+006	108782	109354	0	1	8.081e+006	8.0982e+006	6.54763e+006	6.55739e+006	
78	300537	317730	7	11	1	5	0	2	0	1	5	10	2	5	7.972e+006	7.98902e+006	108783	109355	1	3	8.08101e+006	8.0982e+006	6.54763e+006	6.5574e+006	
79	300536	317729	6	11	1	5	0	2	0	1	3	8	1	3	7.97201e+006	7.98903e+006	108783	109355	0	1	8.08101e+006	8.0982e+006	6.54763e+006	6.5574e+006	
80	300536	317728	5	9	2	5	0	1	0	2	2	5	0	3	7.97201e+006	7.98903e+006	108785	109356	-0	1	8.08101e+006	8.0982e+006	6.54764e+006	6.5574e+006	
81	300534	317727	5	10	2	5	-0	1	1	2	1	4	0	2	7.97201e+006	7.98903e+006	108785	109357	0	2	8.08101e+006	8.0982e+006	6.54764e+006	6.5574e+006	
82	300533	317726	5	9	2	6	-0	1	1	3	1	3	-0	2	7.97201e+006	7.98903e+006	108786	109357	0	1	8.08101e+006	8.0982e+006	6.54764e+006	6.5574e+006	
