Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39821e+006	524	0	0	0	0	0	0	0	188	524	0	
4	8.3979e+006	841	0	0	0	0	0	0	0	317	841	0	
5	8.39746e+006	1281	0	0	0	0	0	0	0	440	1281	0	
6	8.39686e+006	1874	0	0	0	0	0	0	0	593	1874	0	
7	8.39599e+006	2734	16	0	0	0	0	0	0	877	2750	16	
8	8.39476e+006	3801	136	40	0	0	0	0	0	1226	3977	136	
9	8.39325e+006	5151	256	80	0	0	0	0	0	1510	5487	256	
10	8.39133e+006	6885	382	126	0	0	0	16	0	1921	7408	398	
11	8.38888e+006	9020	499	166	31	0	0	145	0	2453	9861	641	
12	8.38597e+006	11485	713	232	61	0	0	275	0	2905	12766	976	
13	8.3826e+006	14265	1018	332	96	0	0	427	0	3373	16139	1428	
14	8.37886e+006	17125	1446	464	156	0	0	685	0	3736	19875	2110	
15	8.3749e+006	19860	2030	666	249	0	0	1032	0	3962	23837	3048	
16	8.37092e+006	22325	2720	893	361	0	0	1513	0	3975	27812	4208	
17	8.36721e+006	24116	3505	1153	504	17	15	2229	0	3712	31524	5709	
18	8.36332e+006	25556	4421	1463	708	28	20	3241	0	3892	35417	7611	
19	8.35901e+006	26958	5452	1827	972	37	25	4478	0	4306	39723	9853	
20	8.35466e+006	27941	6510	2221	1287	56	34	6066	0	4357	44080	12440	
21	8.35009e+006	28766	7482	2532	1662	82	47	8116	0	4562	48642	15356	
