Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39821e+006	524	0	0	0	0	0	0	0	188	524	0	
4	8.3979e+006	825	16	0	0	0	0	0	0	317	841	16	
5	8.39745e+006	1106	136	40	0	0	0	0	0	441	1282	136	
6	8.39686e+006	1538	256	80	0	0	0	0	0	592	1874	256	
7	8.39598e+006	2228	398	126	0	0	0	0	0	878	2752	398	
8	8.39474e+006	3151	635	206	0	0	0	0	0	1240	3992	635	
9	8.39301e+006	4448	970	312	0	0	0	0	0	1739	5730	970	
10	8.39056e+006	6300	1400	458	0	0	0	16	0	2444	8174	1416	
11	8.38706e+006	8928	1946	630	31	0	0	145	0	3505	11679	2088	
12	8.38222e+006	12523	2755	900	61	0	0	275	0	4835	16514	3019	
13	8.37558e+006	17430	3924	1282	96	0	0	427	0	6646	23160	4335	
14	8.36612e+006	24444	5527	1806	156	0	0	685	0	9458	32618	6191	
15	8.35298e+006	34079	7805	2593	249	0	0	1033	0	13140	45759	8823	
16	8.33467e+006	47548	10961	3680	360	0	0	1514	0	18303	64062	12449	
17	8.30898e+006	66602	15267	5141	504	17	15	2230	0	25699	89761	17473	
18	8.27337e+006	92745	21406	7221	711	28	20	3253	0	35602	125363	24609	
19	8.22378e+006	129193	29949	10079	1019	37	25	4674	0	49589	174952	34548	
20	8.15551e+006	179161	41823	14065	1433	56	34	6685	0	68271	243223	48362	
21	8.06096e+006	248016	58516	19566	2018	82	47	9579	0	94555	337778	67820	
22	7.93122e+006	342155	81593	27256	2845	116	63	13553	0	129741	467518	94731	
23	7.77199e+006	451794	113851	37941	3986	167	86	19006	0	159227	626746	132293	
24	7.58014e+006	575374	157987	52618	5563	235	118	26820	0	191851	818596	183950	
