Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39856e+006	176	0	0	0	0	0	0	0	160	176	0	
2	8.3984e+006	336	0	0	0	0	0	0	0	160	336	0	
3	8.39822e+006	512	0	0	0	0	0	0	0	176	512	0	
4	8.39791e+006	812	16	0	0	0	0	0	0	316	828	16	
5	8.39746e+006	1098	136	40	0	0	0	0	0	447	1274	136	
6	8.39687e+006	1526	256	80	0	0	0	0	0	587	1862	256	
7	8.39602e+006	2204	388	124	0	0	0	0	0	854	2716	388	
8	8.3948e+006	3113	625	202	0	0	0	0	0	1225	3940	625	
9	8.39324e+006	4227	964	311	0	0	0	0	0	1561	5501	964	
10	8.39126e+006	5613	1389	456	0	0	0	16	0	1973	7474	1405	
11	8.38878e+006	7240	1918	621	31	0	0	145	0	2482	9956	2061	
12	8.38593e+006	8864	2714	890	61	0	0	275	0	2848	12804	2978	
13	8.38275e+006	10484	3758	1231	94	0	0	418	0	3181	15985	4159	
14	8.37944e+006	11819	5010	1637	153	0	0	674	0	3308	19293	5662	
15	8.37633e+006	12446	6524	2157	244	0	0	1030	0	3109	22402	7534	
16	8.37372e+006	12210	8215	2727	357	0	0	1505	0	2613	25015	9691	
17	8.37066e+006	12092	9932	3338	495	17	15	2203	0	3062	28077	12103	
18	8.3672e+006	12245	11492	3861	699	28	20	3214	0	3461	31538	14647	
19	8.36354e+006	12797	12639	4261	974	36	25	4491	0	3661	35199	17048	
20	8.35974e+006	13980	13099	4441	1304	54	34	6116	0	3796	38995	19076	
21	8.3557e+006	14961	13535	4586	1693	80	46	8183	0	4043	43038	21476	
22	8.35149e+006	15711	13994	4740	2128	114	63	10563	0	4211	47249	24192	
23	8.34713e+006	16409	14354	4860	2592	161	83	13233	0	4360	51609	27074	
24	8.34265e+006	17087	14724	4979	3006	230	116	16057	0	4473	56082	30086	
25	8.33795e+006	17752	15432	5204	3307	322	157	18774	0	4708	60790	33269	
