Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39858e+006	8.39858e+006	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	160	160	0	0	
2	8.39843e+006	8.39843e+006	304	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	304	304	0	0	
3	8.39826e+006	8.39826e+006	472	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	173	472	477	0	0	
4	8.39799e+006	8.39801e+006	708	727	16	16	0	0	0	0	0	0	0	0	0	0	0	0	250	268	724	743	16	16	
5	8.39764e+006	8.39768e+006	901	934	84	93	67	76	0	0	0	0	0	0	0	0	0	0	331	356	1061	1094	84	93	
6	8.39721e+006	8.39727e+006	1164	1218	153	165	139	151	0	0	0	0	0	0	0	0	0	0	402	434	1468	1522	153	165	
7	8.39667e+006	8.39674e+006	1518	1595	235	251	224	240	0	0	0	0	0	0	0	0	0	0	517	556	1992	2070	235	251	
8	8.39598e+006	8.39608e+006	1924	2021	359	386	351	371	0	0	0	0	0	0	0	0	0	0	652	697	2653	2759	362	383	
9	8.39514e+006	8.39528e+006	2389	2508	522	565	520	547	0	0	0	0	0	0	0	0	0	0	796	844	3455	3596	530	558	
10	8.39421e+006	8.39439e+006	2869	3010	710	774	720	754	0	0	0	0	0	0	16	16	0	0	880	939	4344	4526	739	777	
11	8.39314e+006	8.39337e+006	3365	3536	902	994	899	947	24	32	0	0	0	0	128	136	0	0	1014	1080	5363	5600	1024	1072	
12	8.39202e+006	8.3923e+006	3774	3962	1155	1279	1153	1216	50	61	0	0	0	0	243	254	0	0	1060	1124	6433	6714	1358	1424	
13	8.39087e+006	8.39119e+006	4081	4273	1466	1629	1462	1545	81	94	0	0	0	0	380	394	0	0	1098	1160	7543	7863	1782	1865	
14	8.3898e+006	8.39017e+006	4217	4418	1771	1969	1781	1881	131	148	0	0	0	0	583	604	0	0	1017	1082	8569	8936	2256	2362	
15	8.3889e+006	8.38931e+006	4051	4244	2104	2347	2122	2235	196	216	0	0	0	0	855	888	0	0	845	908	9424	9834	2801	2939	
16	8.38789e+006	8.38834e+006	3951	4138	2434	2707	2444	2572	281	304	0	0	0	0	1178	1227	0	0	960	1019	10393	10843	3392	3556	
17	8.38682e+006	8.38731e+006	3877	4068	2718	3006	2745	2875	357	384	14	18	13	16	1611	1677	0	0	1026	1089	11431	11920	3997	4183	
18	8.38569e+006	8.38623e+006	3931	4118	2895	3200	2932	3066	459	489	23	28	18	21	2161	2252	0	0	1069	1133	12509	13044	4575	4792	
19	8.38453e+006	8.38511e+006	4190	4380	2915	3235	2956	3101	584	623	31	38	22	26	2827	2949	0	0	1104	1171	13623	14205	5093	5327	
20	8.38344e+006	8.38408e+006	4258	4458	2937	3259	3014	3157	699	746	46	55	28	33	3582	3741	0	0	1028	1096	14660	15292	5635	5897	
21	8.38233e+006	8.38301e+006	4282	4497	2930	3238	3037	3182	829	887	65	76	38	45	4453	4653	0	0	1053	1125	15725	16405	6239	6523	
22	8.38121e+006	8.38194e+006	4275	4496	2919	3230	3055	3203	955	1015	87	99	47	56	5376	5615	0	0	1063	1132	16798	17526	6870	7180	
23	8.38012e+006	8.38089e+006	4209	4425	2929	3249	3048	3196	1068	1130	113	128	59	70	6342	6624	0	0	1037	1101	17846	18616	7538	7879	
24	8.37902e+006	8.37985e+006	4215	4433	2924	3248	3061	3214	1132	1199	148	164	75	86	7269	7592	0	0	1032	1106	18888	19712	8139	8510	
25	8.37791e+006	8.37877e+006	4229	4437	3017	3351	3170	3334	1138	1204	192	210	95	109	8075	8440	0	0	1066	1129	19965	20830	8745	9140	
26	8.3768e+006	8.37772e+006	4207	4423	3096	3441	3192	3360	1159	1226	239	262	118	134	8975	9375	0	0	1042	1116	21017	21936	9385	9801	
27	8.37565e+006	8.37663e+006	4243	4480	3114	3465	3184	3348	1163	1226	282	309	128	147	9950	10394	13	16	1074	1158	22102	23084	10004	10451	
28	8.37449e+006	8.37552e+006	4315	4549	3097	3460	3159	3331	1149	1213	330	361	150	171	10989	11475	16	19	1104	1175	23219	24245	10627	11108	
29	8.37336e+006	8.37444e+006	4310	4562	3066	3422	3154	3326	1155	1223	386	418	174	196	12041	12565	19	22	1062	1140	24295	25372	11283	11784	
30	8.37221e+006	8.37334e+006	4358	4614	3077	3437	3157	3330	1163	1232	424	459	190	214	13031	13595	22	26	1087	1171	25395	26531	11904	12436	
31	8.37105e+006	8.37225e+006	4364	4620	3084	3461	3165	3345	1204	1280	454	489	203	227	14022	14626	25	30	1081	1163	26485	27685	12545	13110	
32	8.36989e+006	8.37115e+006	4352	4616	3089	3465	3204	3382	1233	1310	491	528	221	245	15024	15671	31	37	1093	1170	27586	28846	13199	13793	
33	8.36873e+006	8.37004e+006	4386	4649	3100	3489	3217	3399	1241	1318	526	564	234	259	16021	16710	37	44	1098	1171	28695	30006	13840	14467	
34	8.36755e+006	8.36892e+006	4408	4671	3119	3521	3248	3436	1249	1330	545	586	246	272	17025	17765	45	54	1110	1192	29818	31187	14487	15144	
35	8.36638e+006	8.36781e+006	4432	4691	3112	3538	3262	3461	1241	1319	561	606	254	282	18082	18865	56	65	1105	1183	30931	32361	15133	15824	
36	8.36518e+006	8.36667e+006	4461	4728	3137	3568	3287	3487	1250	1326	569	615	257	285	19105	19946	66	76	1122	1208	32063	33558	15786	16510	
37	8.36401e+006	8.36556e+006	4464	4734	3156	3576	3296	3488	1262	1342	566	612	258	285	20169	21064	80	91	1101	1177	33172	34727	16444	17208	
38	8.3632e+006	8.3648e+006	4109	4363	3161	3592	3296	3491	1259	1339	569	615	257	284	21272	22211	93	106	756	820	33939	35537	17104	17905	
39	8.36237e+006	8.36402e+006	3777	4014	3174	3613	3319	3518	1259	1343	566	613	257	285	22334	23318	110	124	772	835	34721	36362	17757	18593	
40	8.36157e+006	8.36325e+006	3406	3623	3178	3620	3350	3549	1274	1359	569	616	260	288	23402	24441	125	140	753	813	35486	37164	18424	19295	
41	8.36079e+006	8.36251e+006	3032	3239	3186	3623	3362	3560	1269	1361	579	629	266	296	24473	25566	138	155	728	792	36223	37947	19072	19981	
42	8.36003e+006	8.36179e+006	2991	3187	3064	3483	3153	3343	1274	1367	579	627	265	293	25557	26708	152	169	714	770	36948	38706	19601	20538	
43	8.3593e+006	8.36109e+006	2906	3094	2947	3357	2946	3131	1265	1352	584	633	272	300	26655	27859	168	186	685	744	37645	39438	20140	21106	
44	8.35861e+006	8.36043e+006	2802	2977	2804	3192	2737	2913	1263	1355	591	641	273	302	27754	29014	184	203	648	698	38302	40126	20658	21650	
45	8.35796e+006	8.35982e+006	2681	2846	2658	3028	2513	2679	1276	1368	589	639	272	303	28844	30162	196	218	608	660	38921	40776	21173	22191	
46	8.35733e+006	8.35922e+006	2554	2715	2519	2860	2251	2403	1287	1381	595	649	275	306	29943	31326	210	232	588	638	39520	41403	21693	22736	
47	8.35675e+006	8.35866e+006	2416	2569	2369	2687	1994	2133	1286	1383	601	654	279	310	31032	32475	223	246	550	595	40079	41988	22184	23254	
48	8.3562e+006	8.35815e+006	2271	2425	2315	2613	1947	2076	1221	1314	599	651	278	310	31853	33342	237	260	503	553	40591	42533	22609	23701	
