Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39858e+006	8.39858e+006	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	160	160	0	0	
2	8.39843e+006	8.39843e+006	304	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	304	304	0	0	
3	8.39826e+006	8.39826e+006	473	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	174	473	478	0	0	
4	8.39796e+006	8.39798e+006	736	756	16	16	0	0	0	0	0	0	0	0	0	0	0	0	277	296	752	772	16	16	
5	8.39755e+006	8.39759e+006	982	1023	49	56	104	111	0	0	0	0	0	0	0	0	0	0	384	416	1142	1183	49	56	
6	8.397e+006	8.39707e+006	1367	1434	82	93	211	222	0	0	0	0	0	0	0	0	0	0	523	561	1671	1738	82	93	
7	8.39619e+006	8.3963e+006	1964	2066	121	136	340	354	0	0	0	0	0	0	0	0	0	0	760	813	2439	2542	122	136	
8	8.39504e+006	8.39519e+006	2786	2928	187	216	550	572	0	0	0	0	0	0	0	0	0	0	1095	1163	3543	3696	192	211	
9	8.39343e+006	8.39366e+006	3927	4133	273	327	845	880	0	0	0	0	0	0	0	0	0	0	1525	1621	5075	5310	289	311	
10	8.39114e+006	8.39147e+006	5588	5862	375	462	1241	1297	0	0	0	0	0	0	16	16	0	0	2180	2294	7266	7593	421	448	
11	8.38791e+006	8.38839e+006	7902	8291	522	654	1701	1784	24	32	0	0	0	0	128	136	0	0	3070	3247	10346	10829	643	679	
12	8.38343e+006	8.38412e+006	11068	11617	737	934	2418	2542	50	61	0	0	0	0	243	254	0	0	4257	4491	14616	15307	935	986	
13	8.37724e+006	8.37821e+006	15447	16195	1038	1334	3441	3621	82	95	0	0	0	0	381	394	0	0	5902	6202	20528	21499	1341	1414	
14	8.36844e+006	8.36982e+006	21649	22710	1490	1885	4861	5097	136	154	0	0	0	0	606	629	0	0	8381	8809	28921	30296	1949	2055	
15	8.35622e+006	8.35819e+006	30192	31696	2089	2654	6886	7221	214	233	0	0	0	0	919	959	0	0	11614	12232	40547	42516	2765	2917	
16	8.33924e+006	8.34202e+006	42090	44199	2933	3719	9702	10161	321	347	0	0	0	0	1339	1401	0	0	16156	16993	56715	59497	3905	4123	
17	8.31538e+006	8.31925e+006	58953	61863	4105	5193	13554	14194	446	477	14	18	13	16	1967	2058	0	0	22760	23871	79490	83353	5507	5798	
18	8.28224e+006	8.28764e+006	82164	86209	5751	7283	19018	19927	633	675	23	28	18	21	2874	3006	0	0	31594	33153	111096	116495	7774	8170	
19	8.23612e+006	8.24372e+006	114459	120112	8036	10213	26567	27863	884	944	31	38	22	26	4145	4343	0	0	43907	46137	155014	162621	10912	11471	
20	8.17245e+006	8.18302e+006	158990	166804	11174	14259	37037	38884	1264	1340	48	56	29	34	5939	6212	0	0	60689	63683	215716	226291	15282	16054	
21	8.08445e+006	8.09906e+006	220175	230943	15624	19872	51812	54360	1774	1877	69	80	40	47	8486	8890	0	0	83946	88009	299675	314286	21404	22468	
22	7.96337e+006	7.98339e+006	304235	318884	21803	27721	72292	75852	2497	2635	98	112	52	60	12001	12579	0	0	115656	121092	415342	435368	29940	31410	
23	7.79817e+006	7.82558e+006	418138	437958	30336	38654	100815	105803	3525	3704	141	158	72	83	16842	17657	0	0	157808	165213	573161	600569	41769	43845	
24	7.57466e+006	7.61158e+006	571426	597798	42185	53690	140018	146895	4941	5205	199	219	99	113	23762	24892	0	0	213976	223524	787152	824079	58188	61107	
25	7.27608e+006	7.32489e+006	774164	808375	58590	74387	194236	203685	6920	7284	280	305	137	154	33328	34947	0	0	286683	298587	1.07385e+006	1.12265e+006	80912	84931	
26	6.88392e+006	6.94744e+006	1.03594e+006	1.07946e+006	81013	102570	269003	281913	9659	10159	409	441	192	214	46626	48918	0	0	377425	392183	1.45129e+006	1.51482e+006	112058	117547	
27	6.38082e+006	6.46143e+006	1.36413e+006	1.41736e+006	111571	141007	370336	387973	13500	14167	561	606	254	283	65395	68586	13	16	485993	503121	1.93731e+006	2.01792e+006	154793	162269	
28	5.75634e+006	5.85465e+006	1.75691e+006	1.81834e+006	153166	192580	507136	530758	18801	19737	796	854	363	397	91459	95908	16	19	606742	624513	2.54408e+006	2.64239e+006	212895	222976	
29	5.01263e+006	5.12717e+006	2.19767e+006	2.26351e+006	208924	260432	689309	720200	26124	27436	1127	1200	516	559	127724	133983	19	22	727427	743772	3.27156e+006	3.38611e+006	290795	304168	
30	4.21129e+006	4.33674e+006	2.61061e+006	2.67272e+006	282156	348407	926873	966665	36309	38104	1583	1690	737	794	177780	186493	22	26	790334	801429	4.06199e+006	4.18745e+006	393969	411381	
