Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39872e+006	8.39872e+006	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	
1	8.39858e+006	8.39858e+006	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	160	160	0	0	
2	8.39843e+006	8.39843e+006	304	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	144	304	304	0	0	
3	8.39826e+006	8.39826e+006	473	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	174	473	478	0	0	
4	8.39796e+006	8.39798e+006	736	756	16	16	0	0	0	0	0	0	0	0	0	0	0	0	277	296	752	772	16	16	
5	8.39755e+006	8.39759e+006	982	1023	119	128	32	41	0	0	0	0	0	0	0	0	0	0	384	416	1142	1183	119	128	
6	8.397e+006	8.39707e+006	1367	1434	226	238	66	78	0	0	0	0	0	0	0	0	0	0	523	561	1671	1738	226	238	
7	8.39619e+006	8.3963e+006	1964	2066	353	368	108	122	0	0	0	0	0	0	0	0	0	0	760	813	2439	2542	353	368	
8	8.39504e+006	8.39519e+006	2786	2928	560	587	179	198	0	0	0	0	0	0	0	0	0	0	1095	1163	3543	3696	563	585	
9	8.39343e+006	8.39366e+006	3927	4133	856	903	272	295	0	0	0	0	0	0	0	0	0	0	1525	1621	5075	5310	861	897	
10	8.39114e+006	8.39147e+006	5588	5862	1234	1307	402	433	0	0	0	0	0	0	16	16	0	0	2180	2294	7266	7593	1259	1314	
11	8.38791e+006	8.38839e+006	7902	8291	1709	1820	546	586	24	32	0	0	0	0	128	136	0	0	3070	3247	10346	10829	1853	1936	
12	8.38343e+006	8.38412e+006	11073	11620	2417	2580	789	845	50	61	0	0	0	0	243	254	0	0	4262	4494	14621	15310	2679	2795	
13	8.37722e+006	8.37819e+006	15466	16213	3431	3678	1124	1200	82	95	0	0	0	0	381	394	0	0	5915	6217	20547	21516	3838	4014	
14	8.36841e+006	8.36979e+006	21677	22741	4863	5194	1588	1688	136	154	0	0	0	0	606	629	0	0	8390	8823	28949	30327	5503	5752	
15	8.35617e+006	8.35813e+006	30250	31751	6843	7317	2279	2411	214	233	0	0	0	0	919	959	0	0	11644	12257	40605	42571	7818	8182	
16	8.33913e+006	8.34192e+006	42191	44308	9606	10266	3236	3414	321	347	0	0	0	0	1339	1401	0	0	16204	17050	56821	59610	11026	11552	
17	8.31517e+006	8.31905e+006	59132	62057	13420	14330	4544	4787	446	477	14	18	13	16	1967	2058	0	0	22852	23970	79688	83564	15502	16236	
18	8.28193e+006	8.28733e+006	82446	86495	18822	20099	6398	6719	633	675	23	28	18	21	2874	3006	0	0	31706	33258	111406	116811	21840	22887	
19	8.23558e+006	8.24322e+006	114906	120588	26314	28115	8959	9403	884	944	31	38	22	26	4145	4343	0	0	44101	46352	155519	163152	30632	32126	
20	8.17161e+006	8.18223e+006	159681	167530	36733	39290	12460	13089	1264	1340	48	56	29	34	5939	6212	0	0	60980	63991	216511	227130	42901	45014	
21	8.08318e+006	8.09784e+006	221197	232004	51439	54958	17412	18268	1774	1877	69	80	40	47	8486	8890	0	0	84371	88442	300896	315558	60168	63104	
22	7.96141e+006	7.98153e+006	305792	320528	71851	76731	24259	25444	2499	2636	98	112	52	60	12005	12582	0	0	116303	121780	417209	437328	84146	88244	
23	7.79524e+006	7.82279e+006	420419	440352	100242	107130	33786	35449	3531	3709	141	158	72	83	16856	17669	0	0	158728	166177	575948	603494	117538	123333	
24	7.57029e+006	7.6074e+006	574817	601331	139396	148937	46877	49156	4945	5209	199	219	99	113	23786	24918	0	0	215376	224971	791337	828451	163722	171806	
25	7.2698e+006	7.31878e+006	779049	813386	193482	206588	65014	68194	6930	7295	280	305	137	154	33376	34991	0	0	288602	300498	1.07995e+006	1.12894e+006	227588	238706	
26	6.87516e+006	6.93901e+006	1.04251e+006	1.08626e+006	267795	285680	90145	94486	9683	10184	409	441	192	214	46709	49005	0	0	379759	394659	1.45973e+006	1.52358e+006	315547	330795	
27	6.36842e+006	6.44943e+006	1.37335e+006	1.42684e+006	368846	393280	124043	130020	13540	14210	561	606	254	283	65553	68755	13	16	489561	506756	1.94931e+006	2.03031e+006	435767	456579	
28	5.74013e+006	5.83876e+006	1.76862e+006	1.83019e+006	505386	538122	170006	178058	18869	19807	796	854	362	397	91701	96155	16	19	610630	628335	2.55998e+006	2.65861e+006	598777	626785	
29	4.9923e+006	5.10719e+006	2.21155e+006	2.27754e+006	687419	730101	231095	241603	26223	27542	1128	1202	517	560	128129	134406	19	22	731518	747875	3.29155e+006	3.40644e+006	817390	854377	
30	4.22616e+006	4.35139e+006	2.58754e+006	2.64909e+006	924767	979712	310821	324364	36543	38336	1583	1690	736	793	178340	187102	22	26	755707	766241	4.04735e+006	4.17258e+006	1.10524e+006	1.15349e+006	
