Day	Susceptible	Exposed	Current Detected Mild Infections	Current Undetected Mild Infections	Current Hospitalizations	Current ICU patients	ventilators	Recovered	Deaths	new infections today	total number of infections 	Confirmed total number of infections 	
0	8.39872e+006	16	0	0	0	0	0	0	0	0	16	0	
1	8.39858e+006	160	0	0	0	0	0	0	0	144	160	0	
2	8.39843e+006	304	0	0	0	0	0	0	0	144	304	0	
3	8.39826e+006	476	0	0	0	0	0	0	0	172	476	0	
4	8.39797e+006	746	16	0	0	0	0	0	0	287	762	16	
5	8.39757e+006	1002	52	108	0	0	0	0	0	400	1162	52	
6	8.39703e+006	1400	87	217	0	0	0	0	0	542	1704	87	
7	8.39625e+006	2015	129	347	0	0	0	0	0	786	2491	129	
8	8.39512e+006	2857	201	561	0	0	0	0	0	1129	3619	201	
9	8.39361e+006	3964	300	862	0	0	0	0	0	1507	5126	300	
10	8.39158e+006	5450	419	1269	0	0	0	16	0	2028	7154	435	
11	8.38889e+006	7359	588	1743	28	0	0	132	0	2696	9850	661	
12	8.3854e+006	9717	835	2480	56	0	0	248	0	3487	13336	960	
13	8.38098e+006	12634	1168	3482	88	0	0	388	0	4424	17760	1360	
14	8.37538e+006	16200	1618	4773	145	0	0	618	0	5593	23353	1932	
15	8.3684e+006	20486	2191	6496	224	0	0	939	0	6982	30336	2660	
16	8.35999e+006	25412	2920	8712	334	0	0	1370	0	8412	38748	3608	
17	8.35e+006	30979	3826	11444	462	16	15	2012	0	9990	48739	4829	
18	8.33825e+006	37132	4948	14786	654	25	20	2940	0	11746	60485	6403	
19	8.32498e+006	43424	6318	18892	902	35	24	4189	0	13275	73760	8360	
20	8.31051e+006	49480	7920	23675	1249	52	31	5853	0	14469	88229	10766	
21	8.29508e+006	54920	9765	29124	1680	74	43	8096	0	15430	103659	13667	
22	8.27931e+006	58938	11850	35299	2247	105	56	10984	0	15764	119423	17126	
23	8.26386e+006	61115	14035	41965	2971	149	77	14640	0	15452	134874	21061	
24	8.25318e+006	57332	16239	48637	3862	209	106	19282	0	10686	145561	25487	
25	8.24132e+006	53753	18394	54929	4940	290	144	25106	0	11852	157412	30400	
26	8.22849e+006	50824	20193	60482	6167	408	196	32174	0	12834	170247	35532	
27	8.21533e+006	48532	21564	64572	7624	537	248	40564	14	13160	183407	40872	
28	8.20207e+006	51111	21272	63804	9239	726	330	50502	18	13264	196671	45247	
29	8.18869e+006	52639	20922	62730	10954	969	446	61816	20	13380	210051	50146	
30	8.17529e+006	53196	20548	61469	12674	1268	588	74263	24	13392	223443	55520	
31	8.16211e+006	53215	19961	59787	14317	1638	764	87675	29	13179	236622	61080	
32	8.14916e+006	52904	19324	57924	15743	2080	977	101564	36	12954	249576	66644	
33	8.13649e+006	52195	18793	56384	16789	2593	1212	115445	47	12671	262246	72241	
34	8.12414e+006	51153	19518	58364	16572	3177	1482	125750	62	12350	274596	77166	
35	8.11152e+006	50590	19871	59338	16275	3839	1785	137217	82	12616	287212	82190	
36	8.0988e+006	50356	19879	59450	15979	4540	2119	149616	111	12720	299932	87303	
37	8.08616e+006	50335	19749	59090	15519	5258	2443	162479	151	12649	312581	92372	
38	8.07359e+006	50549	19538	58387	15048	5930	2760	175492	201	12564	325145	97371	
39	8.0611e+006	50424	19363	57798	14637	6546	3047	188605	264	12492	337636	102490	
40	8.05286e+006	45940	19183	57306	15196	6830	3174	201074	342	8235	345872	107646	
41	8.04469e+006	41466	19013	56946	15470	7099	3288	213612	441	8176	354048	112703	
42	8.0366e+006	36992	19525	56044	15472	7341	3385	226204	558	8089	362137	118351	
43	8.02894e+006	32155	20084	55306	15365	7501	3457	238682	698	7655	369792	123923	
44	8.02149e+006	31370	19481	51795	15174	7596	3489	250975	851	7450	377242	128196	
45	8.01448e+006	30206	18703	48132	15034	7609	3497	263541	1028	7012	384254	132445	
46	8.0078e+006	28796	17907	44298	14913	7562	3457	276230	1226	6679	390933	136735	
47	8.00161e+006	27339	17076	40135	14772	7435	3402	288938	1436	6198	397131	140873	
48	7.99591e+006	25589	15560	36536	14662	7305	3333	301522	1656	5700	402830	144814	
49	7.99069e+006	23794	13934	32684	14660	7142	3257	313969	1866	5218	408048	148639	
50	7.98594e+006	21866	13464	31596	13881	7223	3298	322755	2013	4750	412799	151764	
51	7.98135e+006	20252	12894	30189	13004	7257	3312	331623	2162	4584	417382	154710	
52	7.97707e+006	18834	12191	28502	12051	7262	3324	340489	2335	4282	421665	157501	
53	7.97301e+006	17676	11440	26817	11107	7251	3321	348930	2504	4059	425724	160091	
54	7.96924e+006	16698	10629	24928	10106	7227	3323	357219	2688	3773	429497	162516	
55	7.96571e+006	15646	9889	23240	9032	7170	3302	365182	2870	3531	433028	164838	
56	7.96238e+006	14690	9189	21543	8718	6856	3173	372307	3052	3327	436355	167069	
57	7.95933e+006	13686	8569	20024	8342	6556	3036	379004	3228	3055	439410	169125	
58	7.95646e+006	12783	7985	18682	7884	6278	2904	385261	3408	2870	442280	171020	
59	7.95376e+006	11951	7503	17477	7420	6008	2775	391045	3576	2699	444979	172805	
60	7.95126e+006	11124	7075	16481	6921	5736	2638	396400	3741	2500	447479	174448	
61	7.94893e+006	10401	6624	15403	6434	5427	2507	401613	3909	2332	449811	175983	
62	7.94671e+006	9750	6188	14427	5959	5082	2346	406543	4081	2219	452029	177429	
63	7.94467e+006	9091	5772	13483	5553	4722	2176	411199	4251	2040	454069	178805	
64	7.94272e+006	8534	5413	12570	5180	4328	1989	415560	4429	1943	456013	180070	
65	7.94091e+006	8015	5046	11737	4841	3914	1793	419669	4603	1813	457825	181254	
66	7.93923e+006	7473	4714	10960	4553	3717	1690	423373	4712	1677	459502	182367	
67	7.93765e+006	7019	4598	10062	4272	3531	1605	426788	4818	1586	461088	183583	
68	7.93614e+006	6579	4514	9219	4003	3317	1519	430036	4925	1504	462592	184754	
69	7.93476e+006	6154	4442	8405	3705	3120	1426	433124	5029	1388	463980	185834	
70	7.93344e+006	5795	4349	7675	3453	2918	1341	435985	5123	1318	465297	186829	
71	7.9322e+006	5446	4279	6999	3219	2727	1245	438648	5216	1237	466534	187767	
72	7.93103e+006	5118	4208	6355	3012	2537	1159	441168	5312	1175	467709	188674	
73	7.92995e+006	4806	3951	5959	2817	2356	1080	443507	5389	1076	468785	189470	
74	7.92894e+006	4495	3695	5589	2638	2196	1009	445718	5461	1007	469792	190220	
