Day	Susceptible-LB	Susceptible-UB	Exposed-LB	Exposed-UB	Current Detected Mild Infections-LB	Current Detected Mild Infections-UB	Current Undetected Mild Infections-LB	Current Undetected Mild Infections-UB	Current Hospitalizations-LB	Current Hospitalizations-UB	Current ICU patients-LB	Current ICU patients-UB	ventilators-LB	ventilators-UB	Recovered-LB	Recovered-UB	Deaths-LB	Deaths-UB	new infections today-LB	new infections today-UB	total number of infections-LB	total number of infections-UB	Confirmed total number of infections-LB	Confirmed total number of infections-UB	
0	8.39842e+006	8.39842e+006	320	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	320	0	0	
1	8.39835e+006	8.39835e+006	384	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	384	384	0	0	
2	8.39829e+006	8.39829e+006	448	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	448	448	0	0	
3	8.39796e+006	8.39798e+006	759	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	333	759	781	0	0	
4	8.3976e+006	8.39764e+006	775	815	238	250	70	82	0	0	0	0	0	0	0	0	0	0	331	360	1095	1135	238	250	
5	8.39718e+006	8.39723e+006	1118	1174	286	299	85	98	0	0	0	0	0	0	0	0	0	0	399	431	1502	1558	286	299	
6	8.39648e+006	8.39656e+006	1728	1809	333	348	100	115	0	0	0	0	0	0	0	0	0	0	664	708	2176	2257	333	348	
7	8.39547e+006	8.3956e+006	2370	2490	566	595	180	198	0	0	0	0	0	0	0	0	0	0	952	1016	3136	3264	569	592	
8	8.39413e+006	8.39433e+006	3307	3476	820	865	262	284	0	0	0	0	0	0	0	0	0	0	1264	1349	4409	4604	825	859	
9	8.39239e+006	8.39265e+006	4580	4796	1129	1192	356	383	0	0	0	0	0	0	0	0	0	0	1667	1756	6089	6347	1138	1183	
10	8.39017e+006	8.39052e+006	6036	6320	1396	1483	440	473	51	60	0	0	0	0	260	269	0	0	2118	2235	8218	8571	1659	1725	
11	8.38755e+006	8.38803e+006	7562	7926	2061	2197	663	710	64	74	0	0	0	0	310	320	0	0	2476	2622	10704	11184	2382	2484	
12	8.38446e+006	8.38507e+006	9246	9685	2951	3158	969	1038	76	88	0	0	0	0	360	372	0	0	2947	3109	13663	14280	3335	3481	
13	8.38101e+006	8.38178e+006	10863	11391	3976	4241	1299	1381	135	151	0	0	0	0	615	638	0	0	3284	3463	16959	17731	4616	4814	
14	8.37748e+006	8.37843e+006	12078	12690	5314	5658	1743	1845	200	220	0	0	0	0	887	923	0	0	3333	3533	20303	21254	6235	6503	
15	8.37414e+006	8.37524e+006	12778	13422	6837	7292	2285	2414	277	303	0	0	0	0	1215	1266	0	0	3180	3351	23493	24595	8099	8464	
16	8.37137e+006	8.3726e+006	12461	13094	8529	9098	2864	3020	360	388	24	29	18	22	1780	1852	0	0	2629	2781	26134	27364	10349	10818	
17	8.36812e+006	8.36951e+006	12257	12894	10238	10921	3474	3657	527	566	27	34	20	23	2567	2679	0	0	3082	3262	29226	30615	12855	13447	
18	8.36451e+006	8.36608e+006	12345	12987	11778	12579	3986	4199	762	812	30	38	21	25	3600	3771	0	0	3422	3625	32660	34229	15429	16151	
19	8.36064e+006	8.36238e+006	12852	13509	12878	13768	4385	4621	1026	1088	48	58	30	36	4998	5218	0	0	3683	3877	36355	38094	17886	18720	
20	8.3566e+006	8.35852e+006	14068	14786	13238	14164	4533	4774	1369	1445	65	77	37	43	6767	7066	0	0	3846	4057	40213	42139	19942	20880	
21	8.35233e+006	8.35446e+006	15034	15806	13689	14653	4682	4929	1774	1873	86	99	48	56	8824	9232	0	0	4051	4279	44274	46407	22359	23420	
22	8.34787e+006	8.35022e+006	15838	16655	14031	15041	4808	5065	2206	2325	123	140	64	75	11314	11836	0	0	4229	4472	48514	50867	25061	26267	
23	8.3432e+006	8.34577e+006	16595	17456	14345	15368	4891	5154	2677	2813	173	192	87	100	14090	14745	0	0	4439	4679	52964	55536	27987	29327	
24	8.33839e+006	8.3412e+006	17308	18218	14731	15769	5015	5280	3091	3247	244	268	119	135	16948	17758	0	0	4558	4820	57535	60343	31045	32533	
25	8.33347e+006	8.3365e+006	17948	18868	15399	16493	5211	5490	3388	3565	342	370	162	180	19745	20679	0	0	4687	4932	62235	65262	34268	35911	
26	8.32836e+006	8.33162e+006	18588	19525	16607	17801	5584	5891	3499	3682	435	470	195	218	22163	23212	17	19	4870	5128	67115	70379	37588	39400	
27	8.32282e+006	8.32635e+006	19408	20395	17613	18870	5929	6247	3618	3809	575	619	262	290	24995	26188	18	20	5259	5549	72386	75917	41058	43051	
28	8.3171e+006	8.32091e+006	20279	21306	18458	19779	6210	6543	3709	3913	736	787	335	368	28174	29530	18	21	5432	5729	77827	81636	44645	46829	
29	8.31114e+006	8.31522e+006	21267	22345	19210	20578	6455	6804	3790	4001	906	963	412	447	31617	33126	21	25	5675	5971	83516	87593	48346	50704	
30	8.30492e+006	8.30929e+006	22316	23448	19969	21380	6720	7073	3872	4093	1081	1148	493	532	35212	36892	24	29	5917	6233	89445	93814	52191	54742	
31	8.29843e+006	8.3031e+006	23241	24400	20866	22340	7029	7387	4037	4266	1232	1311	565	611	38949	40820	29	35	6185	6499	95640	100303	56346	59117	
32	8.29155e+006	8.29655e+006	24348	25559	21744	23277	7346	7715	4354	4603	1346	1430	620	666	42748	44812	40	48	6538	6888	102188	107182	60631	63622	
33	8.28451e+006	8.28983e+006	25383	26648	22691	24275	7629	8014	4628	4885	1468	1566	682	735	46789	49051	51	61	6709	7061	108911	114228	65134	68335	
34	8.27719e+006	8.28284e+006	26438	27742	23709	25349	7961	8363	4865	5131	1589	1691	738	793	50985	53472	66	78	6973	7326	115896	121543	69822	73247	
35	8.26945e+006	8.27547e+006	27614	28993	24817	26534	8342	8754	5036	5304	1699	1804	796	855	55380	58084	88	102	7358	7753	123267	129284	74683	78336	
36	8.26135e+006	8.26776e+006	28769	30217	26040	27857	8766	9212	5236	5513	1792	1901	841	902	59942	62861	117	133	7693	8112	130973	137383	79817	83725	
37	8.25286e+006	8.25968e+006	30133	31662	27115	28992	9131	9599	5476	5765	1872	1987	878	941	64855	68026	151	170	8075	8503	139058	145875	85114	89274	
38	8.2441e+006	8.25135e+006	31474	33104	28270	30204	9504	9997	5698	5992	1940	2060	911	974	69966	73402	190	214	8314	8771	147385	154632	90619	95028	
39	8.23491e+006	8.2426e+006	32853	34558	29510	31549	9931	10451	5926	6224	2003	2128	933	1001	75318	79014	235	261	8734	9209	156135	163826	96419	101122	
40	8.23012e+006	8.23802e+006	29723	31247	30826	32971	10376	10923	6188	6503	2063	2195	966	1035	80876	84839	283	312	4564	4801	160712	168613	102480	107493	
41	8.22514e+006	8.23327e+006	26385	27737	32230	34489	10848	11424	6497	6839	2147	2279	1000	1070	86635	90867	325	355	4736	4995	165462	173595	108840	114170	
42	8.21994e+006	8.22833e+006	23001	24189	34009	36372	10842	11426	6835	7182	2264	2406	1054	1130	92691	97233	364	396	4931	5221	170406	178801	115844	121531	
43	8.21492e+006	8.22354e+006	19038	20009	35961	38439	10923	11498	7109	7469	2383	2529	1102	1177	98974	103821	409	446	4771	5029	175193	183815	123162	129232	
44	8.21004e+006	8.21888e+006	19124	20105	34409	36758	10099	10620	7413	7783	2487	2638	1146	1225	105503	110661	457	496	4650	4897	179854	188701	127159	133421	
45	8.20534e+006	8.21441e+006	18847	19819	32703	34910	9210	9684	7732	8128	2592	2748	1198	1276	112397	117892	509	553	4458	4709	184325	193398	131306	137770	
46	8.2009e+006	8.21018e+006	18137	19050	30905	32978	8271	8698	8096	8511	2723	2883	1259	1340	119553	125411	566	612	4224	4449	188560	197835	135639	142339	
47	8.19672e+006	8.20619e+006	17337	18215	28726	30615	7182	7552	8421	8866	2855	3020	1313	1395	127127	133351	623	671	3973	4192	192547	202012	139866	146777	
48	8.19289e+006	8.20253e+006	16337	17165	25791	27468	6479	6799	8763	9232	2986	3160	1372	1459	134928	141551	673	725	3650	3848	196210	205847	143902	151014	
49	8.18938e+006	8.19918e+006	15215	15974	22384	23837	5627	5914	9147	9639	3108	3286	1435	1524	143111	150144	735	791	3335	3518	199558	209353	147824	155129	
50	8.1863e+006	8.19625e+006	13910	14625	22097	23540	5576	5856	8678	9150	3232	3418	1488	1580	147968	155225	797	857	2922	3097	202490	212440	151374	158855	
